MEASUREMENT_FREE_TEXT	extracted::IS_POS	COUNT	ratio_COUNT	Npeople	ratio_Npeople	NOTES																			
- (Neg)	0	106	1	100	1	NA																			
1. LÖYDÖS: (Viljely) Negatiivinen	NA	106	1	79	1	NA																			
Resultat: POSIT Lomake	1	106	1	65	1	NA																			
posit**	1	105	1	82	1	NA																			
Tutkimuksen tulos: Negat. indeksi	0	104	1	103	1	check testID																			
Nukleiinihappo-osoitukset negatiiviset.	NA	104	1	87	1	NA																			
Tulos positiivinen, näytteestä osoitettu CMV-DNA:ta.	NA	103	1	25	1	NA																			
POSIT kopiota/ml	1	103	1	22	1	NA																			
negat Lomake	NA	103	1	23	1	NA																			
Provresultat: NEGATIV Lomake	0	102	1	16	1	NA																			
Tehty LÖYDÖS: (Värjäys) Negatiivinen	0	102	1	77	1	NA																			
U-Stixit kaikki Negat.	0	99	1	79	1	NA																			
Bakteeri- ja leukosyyttilaskentaan perustuva seulontanegatiivinen, näytettä ei viljellä.Näytteenoton syy: kirvely/tihent.tarveNäytteen ottotapa: keskivirtsa	NA	97	1	85	1	NA																			
Provresultat: negat Lomake	0	97	1	36	1	NA																			
Tutkimuksen tulos: negat Lomake	0	97	1	44	1	NA																			
Tutkimuksen tulos: NEGAT.	0	96	1	35	1	NA																			
Tutkimuksen tulos: positiivinen	1	96	1	95	1	NA																			
